date,c-ip,cs-uri-stem,cs(User-Agent),time-taken
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/24.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",296
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/33.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",468
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/26.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",234
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/6.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",171
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/27.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",265
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/10.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",937
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/37.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",343
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/25.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",187
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/36.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",281
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/53.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",109
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/15.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",218
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/14.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",109
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/50.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",218
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/44.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",406
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/56.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",156
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/43.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",187
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/7.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",125
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/35.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",218
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/5.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",46
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/8.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",109
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/42.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",93
